FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.7929 | NoiseVar=8.70e-04
FIT_QUALITY | Depth=3 | N_pts=21 | R2=0.1859 | NoiseVar=1.87e-04
FIT_QUALITY | Depth=4 | N_pts=12 | R2=0.9330 | NoiseVar=6.19e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4646 | NoiseVar=6.01e-06
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4745 | NoiseVar=1.56e-04
FIT_QUALITY | Depth=3 | N_pts=21 | R2=0.3175 | NoiseVar=1.14e-03
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4662 | NoiseVar=1.48e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.8745 | NoiseVar=4.45e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.7929 | NoiseVar=8.70e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2248 | NoiseVar=2.50e-03
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.2649 | NoiseVar=3.28e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.5518 | NoiseVar=1.43e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4745 | NoiseVar=1.56e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3969 | NoiseVar=1.85e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3716 | NoiseVar=1.21e-05
FIT_QUALITY | Depth=4 | N_pts=12 | R2=0.9330 | NoiseVar=6.19e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4646 | NoiseVar=6.01e-06
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4662 | NoiseVar=1.48e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.8745 | NoiseVar=4.45e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3299 | NoiseVar=1.15e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2181 | NoiseVar=2.55e-03
FIT_QUALITY | Depth=4 | N_pts=13 | R2=0.9258 | NoiseVar=6.49e-05
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.4078 | NoiseVar=1.12e-05
